,year,FIPS,County,State,yield,area,tmax5,tmax6,tmax7,tmax8,tmax9,tmin5,tmin6,tmin7,tmin8,tmin9,tave5,tave6,tave7,tave8,tave9,vpdmax5,vpdmax6,vpdmax7,vpdmax8,vpdmax9,vpdmin5,vpdmin6,vpdmin7,vpdmin8,vpdmin9,vpdave5,vpdave6,vpdave7,vpdave8,vpdave9,precip5,precip6,precip7,precip8,precip9,tave56789,vpdave56789,precip56789,precip_gs_mean,precip_gs_std,precip_gs_z,yield_ana
20,2015,6067,SACRAMENTO,CALIFORNIA,40.24,4200,25.129216271599997,32.6765145505,33.1471162661,32.8512967831,31.4823154343,10.542602301599999,14.6095838933,16.462597961,15.683399003499998,14.3038322131,17.8359092866,23.6430492219,24.8048571135,24.2673478933,22.8930738237,21.1553344739,37.2848143262,37.5609136277,37.818255039,37.1851610634,1.8913596004599997,3.6140648759099996,4.3096774218,3.7615566121399997,4.818478750340001,11.5233470372,20.449439600999998,20.9352955248,20.7899058256,21.0018199069,8.10489930493,1.90000670896,0.16630872474000002,0.024966442295,0.0731543625561,22.688847467799995,18.42449699715,10.2693355434811,14.160526846794184,10.118232746343457,-0.384572227271535,-6.538807928581953
21,2013,6067,SACRAMENTO,CALIFORNIA,39.5,2000,27.644122105799998,31.320697979400002,34.573251810500004,32.454117788000005,29.504174494,11.729712058099999,13.9870782997,15.2399913476,14.391234029100001,13.633953014400001,19.6869170819,22.6538881396,24.906621579099998,23.422675908600002,21.569063754200002,26.771043509899997,32.705322135900005,40.0997531765,33.9925070466,28.495138703600002,3.38577614129,3.0130335563700004,4.236795842209999,2.9918402259599994,2.92471364875,15.0784098256,17.8591778461,22.168274509299998,18.492173636300002,15.709926176199998,4.26778523046,7.9942952827,0.0,0.0,16.0951677792,22.44783329268,18.399508954325,28.35724829236,14.160526846794184,10.118232746343457,1.403083107640141,-4.280599341407651
22,2012,6067,SACRAMENTO,CALIFORNIA,49.0,2000,27.580653819299997,30.406118580300003,32.9310803381,34.942565491799996,32.1521028903,10.569027926699999,12.765789706,14.077910798800001,14.9425741447,13.0401454155,19.074840873,21.5859541431,23.504495568499998,24.942569818200003,22.5961241529,26.3773024425,32.340720344699996,36.7555834609,42.7929270497,34.8993377959,2.38661398625,3.45220581486,3.24210651667,4.43527170686,3.46214317824,14.3819582144,17.8964630798,19.998844988800002,23.6140993783,19.1807404871,0.10496644305700001,1.32644295404,0.18046979942400002,0.0,0.0045637584747700004,22.34079691114,18.972841415325,1.6164429549957702,14.160526846794184,10.118232746343457,-1.2397504787910334,6.637486955703935
23,2010,6067,SACRAMENTO,CALIFORNIA,45.5,2000,23.0407447608,30.3238053687,33.2328794078,31.659590829099997,31.087800895100003,8.2234639548,13.591239376199999,13.777765755899999,12.7470729567,12.9469776265,15.6321043578,21.957522372399996,23.5053225819,22.2033318929,22.017389260799998,19.4022104361,30.488557060700003,35.277557907399995,32.2731262004,32.5481140892,1.5646157168700001,2.63295301931,2.70222342496,1.9881056479400003,2.63246085014,10.4834130765,16.56075504,18.989890666199997,17.1306159242,17.5902874697,24.770000010100002,0.90362415729,0.0,0.0016107382565300002,0.434966443657,21.06313409316,15.791168676725,26.110201349303534,14.160526846794184,10.118232746343457,1.1810041142637029,5.811623557121493
24,2004,6067,SACRAMENTO,CALIFORNIA,35.91,2200,27.424927458600003,31.6064765051,33.5362546033,33.409584336100004,31.5812774027,10.821431045,13.5561207991,14.9810976419,15.096371521400002,13.5180134249,19.1231792518,22.5812986521,24.2586761226,24.2529779288,22.5496454138,24.1608096941,31.1162729246,34.663894789400004,34.8307772151,34.4805503612,1.4290149387200002,2.41386353583,2.5103052621,2.4754167576099997,3.6923624193999998,12.794912316400001,16.7650682302,18.5871000257,18.6530969864,19.0864563903,1.96999999651,0.0461744964123,0.0,0.0,6.24986576668,22.55315547382,16.700044389675,8.266040259602299,14.160526846794184,10.118232746343457,-0.5825608814268524,2.9477454184344936
25,1991,6067,SACRAMENTO,CALIFORNIA,31.09,7900,24.6768261492,29.330140938200003,34.817614219,31.766590166700002,33.603702446199996,9.566798010700001,12.463738259500001,15.6604633098,14.005893054200001,14.4770850128,17.1218120799,20.8969395988,25.2390387644,22.8862416105,24.0403937295,21.1274388456,27.9850044875,37.9306819459,30.6570274543,36.7863691255,1.5490625667500002,2.45929306659,2.76316951727,2.31045680807,3.4728299783099996,11.338250706199998,15.222148777000001,20.346925731600003,16.4837421312,20.1295995519,10.156107395,9.919530223189998,0.0551677858895,2.79006710949,0.30194630867600003,22.03688515662,15.8477668365,23.222818822245497,14.160526846794184,10.118232746343457,0.8956398021903833,6.030527744969586
26,2017,6095,SOLANO,CALIFORNIA,41.63,8200,26.3370675628,30.392253601900002,33.6436474072,32.2861549713,30.600483746,10.779693138099999,14.0607868959,14.2844904901,15.1355486623,14.5165638198,18.5583803505,22.226520248899998,23.9640689486,23.710851816799998,22.5585237829,23.4732412544,30.1970333262,39.3302136958,33.978917000900005,32.8225415754,2.03578963406,2.88853618175,3.3159867653,3.0214268013,3.9349538433800006,12.7545154442,16.542784754,21.323100230599998,18.5001719011,18.3787477094,0.422435897893,6.81404272839,0.0,0.000111111113404,0.0183076921265,22.20366902954,17.280143082475,7.254897429522904,19.421400761784792,23.807016378162174,-0.5110469593922757,-8.363064506212247
27,2016,6095,SOLANO,CALIFORNIA,46.43,9800,25.680583406900002,31.2530093962,32.412778328499996,31.3024620864,30.262384310300003,11.463216708900001,13.3200227989,13.7180600991,13.1180322606,12.442651561600002,18.5719000579,22.2865160975,23.065419213800002,22.210247173499997,21.352517935999998,21.742730918299998,34.8221213892,36.2433407802,32.1098949626,32.3200575576,1.92716239238,3.0633695161400003,2.84412930787,2.0352437274599997,2.5926222224599997,11.8349466553,18.9427454527,19.543735044,17.072569345,17.45633989,7.402350423510001,0.00385470080197,0.0,0.0,0.0,21.49732009574,16.84849912425,7.40620512431197,19.421400761784792,23.807016378162174,-0.5046913668902325,-1.9289302185864656
28,2015,6095,SOLANO,CALIFORNIA,44.73,11000,23.6133057652,30.9646894732,31.4885745815,31.616600479899997,31.302136751,9.95619243848,13.416943023,15.578905425799999,14.9312875625,13.8489316204,16.7847491019,22.1908162481,23.5337400037,23.2739440212,22.5755341857,17.6268624143,31.3834073883,32.7125916364,33.9500689148,36.2798404369,1.64724014058,2.51872079832,3.4643837877699997,2.9069120480699997,4.10170085542,9.63705127745,16.951064093299998,18.0884877121,18.4284904814,20.190770646199997,0.48658119643500003,2.4631282043400002,0.129743589423,0.00324786325487,0.7914529888390001,21.671756712119997,15.7762733910625,3.87415384229187,19.421400761784792,23.807016378162174,-0.6530531450280423,-2.048807928581958
29,2014,6095,SOLANO,CALIFORNIA,43.5,10000,27.945712705100004,30.8441139596,32.7122304704,31.3921477873,30.664749278600002,11.5566197972,12.923621087599999,15.2061428152,14.555729238900001,14.033940169100001,19.7511662511,21.883867523600003,23.959186642800002,22.9739385131,22.3493447239,26.645999451199998,31.3770427336,34.0426550955,29.374174254099998,29.9075583958,2.52488282372,2.3305555541,2.8376619812,1.7772070578999999,1.90079771868,14.5854411375,16.8537991438,18.4401585384,15.575690655999999,15.904178057200001,0.107863247347,0.0,0.0185470084986,0.39735042622199995,11.884957262,22.1835007309,16.363772368924998,12.4087179440676,19.421400761784792,23.807016378162174,-0.2945636994709603,-1.752697636198718
